date,strategy,weekly_return,rebalance_month,wealth
2024-07-26,Rolling REPO,0.000794413084182767,2024-07,0.912785417718837
2024-08-02,Rolling REPO,0.013020324432235312,2024-08,0.9246701799945497
2024-08-09,Rolling REPO,-0.00445597423613592,2024-08,0.9205498734955708
2024-08-16,Rolling REPO,0.01340823896786039,2024-08,0.9328928261812331
2024-08-23,Rolling REPO,0.006713158252785245,2024-08,0.9391554833562759
2024-08-30,Rolling REPO,-0.004834899416525991,2024-08,0.9346147610577694
2024-09-06,Rolling REPO,0.00206896071868514,2024-09,0.9365484422855013
2024-09-13,Rolling REPO,0.011726214449852694,2024-09,0.9475306101624166
2024-09-20,Rolling REPO,0.003537776016876841,2024-09,0.9508827612303059
2024-09-27,Rolling REPO,0.0046997575570524005,2024-09,0.955351679673269
2024-10-04,Rolling REPO,-0.010503228309908056,2024-10,0.9453174028654064
2024-10-11,Rolling REPO,-0.00335640208214906,2024-10,0.9421445375661373
2024-10-18,Rolling REPO,0.0026873074574805633,2024-10,0.9446763696079632
2024-10-25,Rolling REPO,-0.007492410289539124,2024-10,0.937598466656028
2024-11-01,Rolling REPO,-0.010621970099605913,2024-11,0.9276393237777714
2024-11-08,Rolling REPO,0.006985319151957475,2024-11,0.9341191805122652
2024-11-15,Rolling REPO,-0.016831653732124432,2024-11,0.9183964099213469
2024-11-22,Rolling REPO,0.010459083057236147,2024-11,0.9280019942521818
2024-11-29,Rolling REPO,0.008001014152378751,2024-11,0.9354269513416292
2024-12-06,Rolling REPO,-0.0002692258495762597,2024-12,0.9351751102259378
2024-12-13,Rolling REPO,-0.007880454090283366,2024-12,0.9278055057034266
2024-12-20,Rolling REPO,-0.014381511860281826,2024-12,0.914462259819118
2024-12-27,Rolling REPO,-0.00812140987256995,2024-12,0.9070355369941304
2022-01-07,Static MVPO,-0.01201599906554773,static,0.9879840009344523
2022-01-14,Static MVPO,0.0013410469815778759,static,0.9893089338967526
2022-01-21,Static MVPO,-0.0008547370024551001,static,0.9884633349440917
2022-01-28,Static MVPO,-0.005335136542126417,static,0.9831897480852794
2022-02-04,Static MVPO,-0.0069929540987263535,static,0.9763143473065807
2022-02-11,Static MVPO,-0.0029365668519877007,static,0.9734473349571602
2022-02-18,Static MVPO,0.000934105185249692,static,0.9743566371603111
2022-02-25,Static MVPO,0.0011142599148537408,static,0.9754423237038704
2022-03-04,Static MVPO,0.012933185647670018,static,0.9880579003649271
2022-03-11,Static MVPO,-0.017159947764971657,static,0.9711028784058974
2022-03-18,Static MVPO,0.0006723633475813972,static,0.9717558123880683
2022-03-25,Static MVPO,-0.009751686802180182,static,0.9622795540574617
2022-04-01,Static MVPO,0.002311398512073671,static,0.9645037655869091
2022-04-08,Static MVPO,-0.014661345972564284,static,0.9503628421877983
2022-04-15,Static MVPO,-0.00035383311921338614,static,0.9500265723389626
2022-04-22,Static MVPO,-0.012936793638202203,static,0.9377362746218049
2022-04-29,Static MVPO,-0.0037021531395450783,static,0.9342646313286485
2022-05-06,Static MVPO,-0.007564636677738,static,0.9271972588317864
2022-05-13,Static MVPO,-0.0007802916438913757,static,0.926473774558481
2022-05-20,Static MVPO,0.0037314041829125135,static,0.9299308226762274
2022-05-27,Static MVPO,0.021133851775590372,static,0.9495838428442196
2022-06-03,Static MVPO,-0.010806144645900937,static,0.9393225024850346
2022-06-10,Static MVPO,-0.017588947371108162,static,0.9228008084243277
2022-06-17,Static MVPO,-0.015893788039376775,static,0.9081340079726659
2022-06-24,Static MVPO,0.005731157653866057,static,0.9133386671431946
2022-07-01,Static MVPO,0.001046797115080733,static,0.9142947474250517
2022-07-08,Static MVPO,-0.007642893868156149,static,0.9073068897062694
2022-07-15,Static MVPO,0.00407135067096972,static,0.9110008542204505
