rebalance_month,method,method_label,eval_start,eval_end,lookback_start,lookback_end,l1_change,turnover,max_abs_weight_change,weight_entropy,effective_n_entropy,herfindahl_hhi,effective_n_hhi,max_weight,top3_weight,n_positions_gt_1pct,w_SPY,w_EFA,w_EEM,w_AGG,w_LQD,w_HYG,w_GLD,w_VNQ,w_DBC
2023-05,rolling_repo,Rolling REPO,2023-05-05,2023-05-26,2020-05-08,2023-04-28,0.7537313646910001,0.37686568234550005,0.188139647435,1.121036622699807,3.068032948026555,0.3807821664752356,2.6261734084257213,0.505044867092,0.9722818489030001,5,0.002835795113,0.000262788057,0.000234560678,0.505044867092,0.323839298103,0.00133289292,0.012368556228,0.010683558101,0.143397683708
2023-06,rolling_mvpo,Rolling MVPO,2023-06-02,2023-06-30,2020-06-05,2023-05-26,0.02219973882247119,0.011099869411235594,0.011099869411235481,0.9968638724811485,2.7097703036025984,0.44661616229816303,2.239059139405697,0.6000000000000001,0.944438504173559,4,1.5666721392415542e-17,1.2873351631058572e-17,1.6039055230756044e-17,0.6000000000000001,0.0,0.2822422971751425,0.06219620699841651,8.206322841540084e-18,0.055561495826441036
2023-06,rolling_repo,Rolling REPO,2023-06-02,2023-06-30,2020-06-05,2023-05-26,0.8274631879159999,0.41373159395799997,0.273915793066,1.5564918290578469,4.742155736545481,0.29644379630586626,3.373320718670783,0.48337981891,0.816775364726,8,0.022818135162,0.024848532848,0.049703973128,0.48337981891,0.049923505037,0.16180432147,0.171591224346,0.003523948604,0.032406540495
2023-07,rolling_mvpo,Rolling MVPO,2023-07-07,2023-07-28,2020-07-10,2023-06-30,0.027519303543476103,0.013759651771738051,0.013759651771737942,0.9826534995312229,2.6715357639185364,0.4505560785465626,2.219479544534999,0.6,0.9515634447733214,4,0.0,0.0,0.0,0.6,0.0,0.29069810680135905,0.04843655522667857,0.0,0.060865337971962474
2023-07,rolling_repo,Rolling REPO,2023-07-07,2023-07-28,2020-07-10,2023-06-30,0.729787158329,0.3648935791645,0.34369609934400003,0.9696806259621658,2.637102102901137,0.43772165590316536,2.284556833124163,0.505500420814,0.9741735215430001,5,0.000875160639,0.000330202893,0.010246286823,0.424198879261,0.000199026549,0.505500420814,0.001522054101,0.012653747451,0.044474221468
2023-08,rolling_mvpo,Rolling MVPO,2023-08-04,2023-08-25,2020-08-07,2023-07-28,0.02925346119480951,0.014626730597404755,0.014626730597404741,1.0012502266999355,2.721682422292591,0.4453743503956285,2.2453021803157154,0.5999999999999999,0.9425140687660185,4,0.0,0.0,0.0,0.5999999999999999,4.1232849645991685e-17,0.27945078294193526,0.06306328582408331,1.6284383569621422e-17,0.05748593123398166
2023-08,rolling_repo,Rolling REPO,2023-08-04,2023-08-25,2020-08-07,2023-07-28,0.0,0.0,0.0,0.9696806259621658,2.637102102901137,0.43772165590316536,2.284556833124163,0.505500420814,0.9741735215430001,5,0.000875160639,0.000330202893,0.010246286823,0.424198879261,0.000199026549,0.505500420814,0.001522054101,0.012653747451,0.044474221468
2023-09,rolling_mvpo,Rolling MVPO,2023-09-01,2023-09-29,2020-09-04,2023-08-25,0.013828796796504122,0.006914398398252061,0.006914398398251892,1.0060288938010777,2.7347195618093116,0.4438670667574647,2.252926776715368,0.5999999999999999,0.9456975274360272,4,1.8381744296210936e-17,0.0,7.246097430287823e-18,0.5999999999999999,1.210958416208223e-16,0.27571984321369214,0.0699776842223352,0.0,0.05430247256397267
2023-09,rolling_repo,Rolling REPO,2023-09-01,2023-09-29,2020-09-04,2023-08-25,0.0,0.0,0.0,0.9696806259621658,2.637102102901137,0.43772165590316536,2.284556833124163,0.505500420814,0.9741735215430001,5,0.000875160639,0.000330202893,0.010246286823,0.424198879261,0.000199026549,0.505500420814,0.001522054101,0.012653747451,0.044474221468
2023-10,rolling_mvpo,Rolling MVPO,2023-10-06,2023-10-27,2020-10-09,2023-09-29,0.00151459741298382,0.00075729870649191,0.0007572987064918407,1.0054058917734632,2.733016356582591,0.4440649422822822,2.251922871597286,0.5999999999999998,0.9454386724735995,4,1.581128168208027e-19,0.0,0.0,0.5999999999999998,1.5781261243504013e-16,0.2762182869577564,0.06922038551584336,0.0,0.05456132752640021
