architecture,architecture_label,status,is_feasible,mu_europe,portfolio_risk_factor,te_cvar_limit,turnover_limit,expected_return,portfolio_cvar,te_cvar,bm_dist_l2,bm_dist_l1,turnover,herfindahl,effective_n,instability_score,max_adjacent_jump,objective_loss_pct,max_weight
A,Architecture A: Standard Optimization,optimal,True,0.0695,1.0,0.04,0.3,0.06987371209216572,0.2748026372883762,0.012415840705552968,0.0707009338836217,0.11648668373683069,0.11648668373683069,0.3269438138569929,3.0586295186407955,0.055005229388249616,0.01274276723014195,,0.4148502863260425
B,Architecture B: Stronger Single-Stage,optimal,True,0.0695,1.0,0.04,0.3,0.06987371501146793,0.27480265227588874,0.01241584834461346,0.0707009377213493,0.11648661703381524,0.11648661703381524,0.32694390965277526,3.058628622450963,0.05500505440980366,0.012742710475141417,,0.41485037230219307
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.0695,1.0,0.04,0.3,0.06979940755886746,0.2747997034357742,7.85605628206453e-06,4.014379565639885e-05,6.837353574312699e-05,6.837353574312699e-05,0.34498434660405364,2.8986822441185214,1.509572625586608e-05,3.616396326303062e-06,0.0010634535832003645,0.3999937646281361
A,Architecture A: Standard Optimization,optimal,True,0.069,1.0,0.04,0.3,0.06966995253050362,0.27480264127182874,0.012611527041946697,0.06636252637237987,0.10305575113849721,0.10305575113849721,0.3228098486908792,3.0977989180175047,0.05429500756608696,0.012981232678893728,,0.40186905364714876
B,Architecture B: Stronger Single-Stage,optimal,True,0.069,1.0,0.04,0.3,0.06966995467832186,0.27480265232118245,0.012611504719787631,0.06636236238580992,0.10305542094098585,0.10305542094098585,0.3228099466952176,3.0977979775330597,0.05429532448344785,0.012981305285506561,,0.4018690670166865
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.069,1.0,0.04,0.3,0.0695994610100617,0.2747999553090721,7.185078237894304e-06,3.671518008296303e-05,6.253389913722651e-05,6.253389913722651e-05,0.34498568333829555,2.8986710124413846,1.2188070486028227e-05,2.9198183027073776e-06,0.001011823081924507,0.39999429714489765
A,Architecture A: Standard Optimization,optimal,True,0.0685,1.0,0.04,0.3,0.06947492150052138,0.2748026502871115,0.01423381576429162,0.06895801303527456,0.1254995186769608,0.1254995186769608,0.31566531058816544,3.1679122363389993,0.0985798791877488,0.023652009824342957,,0.3782170438228058
B,Architecture B: Stronger Single-Stage,optimal,True,0.0685,1.0,0.04,0.3,0.06947492189004478,0.27480265231358975,0.014233817006289683,0.06895801344003986,0.1254994960114995,0.1254994960114995,0.31566532094742744,3.1679121323768893,0.09857985608787206,0.023652011513668192,,0.3782170555030183
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.0685,1.0,0.04,0.3,0.06939937545432076,0.27479951055772955,8.369870632840814e-06,4.276934061852175e-05,7.284540768845438e-05,7.284540768845438e-05,0.34498332292891704,2.8986908454297877,2.1521423364795833e-05,5.155754275412705e-06,0.0010873914452697974,0.39999335679843606
A,Architecture A: Standard Optimization,optimal,True,0.068,1.0,0.04,0.3,0.06928983795594053,0.27480264924275155,0.015467539539806577,0.07556774212981919,0.1407365786554956,0.1407365786554956,0.3120429771535,3.20468676822065,0.09014524407439022,0.021383390134923463,,0.372798056984371
