architecture,architecture_label,status,is_feasible,mu_europe,portfolio_risk_factor,te_cvar_limit,turnover_limit,expected_return,portfolio_cvar,te_cvar,bm_dist_l2,bm_dist_l1,turnover,herfindahl,effective_n,instability_score,max_adjacent_jump,objective_loss_pct,max_weight
A,Architecture A: Standard Optimization,optimal,True,0.0655,1.05,0.02,0.3,0.06989999921440415,0.2825713873657198,0.028680876855546482,0.15811384608988283,0.2999999103504507,0.2999999103504507,0.3549999707838013,2.8169016402793186,1.7404250532716965e-07,4.056628560927894e-08,,0.44999998083613146
B,Architecture B: Stronger Single-Stage,optimal,True,0.0655,1.05,0.02,0.3,0.06955735210471906,0.28099424148393626,0.01999999932313747,0.12023040927535256,0.2388751931083315,0.2388751931083315,0.3649670592893486,2.739973305939352,0.014978219708388592,0.003544156544935395,,0.46046101250594257
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.0655,1.05,0.02,0.3,0.06920956534376789,0.2798546736925646,0.0142982835694987,0.06878058790074507,0.11858178443862716,0.11858178443862716,0.362955136217042,2.7551614516952703,0.016388696335855872,0.003816127096925137,0.005000000006147022,0.4157396262509206
A,Architecture A: Standard Optimization,optimal,True,0.065,1.05,0.02,0.3,0.06974999996787253,0.2825713918198901,0.028680884347301788,0.15811388132589618,0.29999999609265476,0.29999999609265476,0.3549999988635819,2.8169014174681064,1.792270410182037e-07,4.1717785357160016e-08,,0.44999999917668093
B,Architecture B: Stronger Single-Stage,optimal,True,0.065,1.05,0.02,0.3,0.06939239991570947,0.28099465174123484,0.01999999700795923,0.12206099531232854,0.2421360117902562,0.2421360117902562,0.366192897947201,2.7308011859481325,0.013498404661660142,0.0031950161353199724,,0.46365602864126254
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.065,1.05,0.02,0.3,0.06904543791612183,0.279942584866543,0.014757667270214794,0.07126713533604657,0.1257542502649861,0.1257542502649861,0.3619737755324469,2.7626310732843713,0.015318498323338543,0.003586232812440193,0.005000000000131056,0.4166666670398124
A,Architecture A: Standard Optimization,optimal,True,0.0645,1.05,0.02,0.3,0.06959999997302949,0.2825713918528401,0.028680884394592307,0.15811388148146932,0.2999999965288477,0.2999999965288477,0.3549999990616716,2.8169014158962775,1.418542156381826e-09,3.3865786763254433e-10,,0.4499999992184433
B,Architecture B: Stronger Single-Stage,optimal,True,0.0645,1.05,0.02,0.3,0.06922824221650829,0.2809932770107936,0.01999997870318477,0.12343595721330929,0.2444651785801385,0.2444651785801385,0.36714013785647354,2.723755582373647,0.010071902936435728,0.002383965410307831,,0.46603999405157037
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.0645,1.05,0.02,0.3,0.06888210100531678,0.2800237695527923,0.01519256416461244,0.07371674716581174,0.13249083248147367,0.13249083248147367,0.3611590372053933,2.768863290083737,0.014333088562801808,0.003368291112809174,0.005000000001574146,0.4176951730329309
A,Architecture A: Standard Optimization,optimal,True,0.064,1.05,0.02,0.3,0.06944999998884462,0.2825713919338736,0.02868088460392409,0.15811388282180436,0.299999999293102,0.299999999293102,0.35499999954322226,2.816901412075205,5.035546145724264e-09,8.633002646085686e-10,,0.4499999999896126
B,Architecture B: Stronger Single-Stage,optimal,True,0.064,1.05,0.02,0.3,0.06906452857869147,0.28099107022613157,0.019999993928532283,0.12432781051116863,0.24591741955959429,0.24591741955959429,0.367779772451144,2.7190184858054973,0.006606798627555684,0.001563451709886421,,0.4676034457614568
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.064,1.05,0.02,0.3,0.0687192059357777,0.2800989233445358,0.015595353009815016,0.07607687200463666,0.13875275816284272,0.13875275816284272,0.3604929243237987,2.7739795500168793,0.013285622747306113,0.003130962836476847,0.005000000000294153,0.4187868468219459
A,Architecture A: Standard Optimization,optimal,True,0.0635,1.05,0.02,0.3,0.06929999998763971,0.2825713919268992,0.02868088459300093,0.15811388270716856,0.2999999990142501,0.2999999990142501,0.35499999946712657,2.8169014126790195,5.823613777148131e-10,1.3539203091994523e-10,,0.44999999985422057
B,Architecture B: Stronger Single-Stage,optimal,True,0.0635,1.05,0.02,0.3,0.06890117806967552,0.28098886765741454,0.019999984306177485,0.1249663154558389,0.24692770475482612,0.24692770475482612,0.3682502770178493,2.7155444609523793,0.004767167561332306,0.0011278007073730056,,0.4687312464688298
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.0635,1.05,0.02,0.3,0.06855667217903501,0.28016952358009384,0.015965680324209797,0.07832912409963207,0.14456241091586777,0.14456241091586777,0.35995101730607687,2.778155782095403,0.012302066400485152,0.0029048263889395742,0.005000000004239942,0.4199123367239874
A,Architecture A: Standard Optimization,optimal,True,0.063,1.05,0.02,0.3,0.06914999998502924,0.2825713919090794,0.0286808845735887,0.15811388262075504,0.29999999873595085,0.29999999873595085,0.35499999932851584,2.8169014137788864,8.157889392878634e-10,1.9595999815665873e-10,,0.4499999997668456
B,Architecture B: Stronger Single-Stage,optimal,True,0.063,1.05,0.02,0.3,0.06873807542449076,0.28098460411030346,0.019999999393090842,0.12602016853556874,0.24853469074462453,0.24853469074462453,0.3690606821870714,2.709581508585395,0.008016083717179216,0.0018952975242157444,,0.47062654399304554
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.063,1.05,0.02,0.3,0.06839438504707189,0.28023345052631515,0.016301850142761785,0.08046057840681818,0.14993869132030901,0.14993869132030901,0.35951394191871017,2.7815332964920465,0.011369694201421466,0.002688140198306377,0.0050000000043122226,0.4210494201553064
A,Architecture A: Standard Optimization,optimal,True,0.0625,1.05,0.02,0.3,0.06899999997203195,0.2825713918113445,0.0286808844810702,0.1581138825199815,0.2999999980027106,0.2999999980027106,0.3549999986761003,2.8169014189557604,4.892459162477467e-09,1.1497815452362691e-09,,0.44999999976882055
B,Architecture B: Stronger Single-Stage,optimal,True,0.0625,1.05,0.02,0.3,0.06857537603614086,0.2809815916890646,0.019999999324809448,0.12670568304613053,0.24954477737131947,0.24954477737131947,0.36959601799075525,2.7056568559269842,0.0052010960253492085,0.0012292204664698936,,0.47185576445951544
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.0625,1.05,0.02,0.3,0.06823249915576324,0.28029251208713557,0.016609070203377086,0.0824854971625459,0.15494723642497055,0.15494723642497055,0.35915915531015724,2.784280966293161,0.01058439866268017,0.0025042725535213695,0.005000000002871578,0.4221842143630129
A,Architecture A: Standard Optimization,optimal,True,0.062,1.05,0.02,0.3,0.06884999930741575,0.2825713864498546,0.028680880853655853,0.15811388429018522,0.2999999662272789,0.2999999662272789,0.35499995919826294,2.8169017322098133,2.865714104146277e-07,6.703574852916347e-08,,0.44999999765590765
B,Architecture B: Stronger Single-Stage,optimal,True,0.062,1.05,0.02,0.3,0.06841284115737034,0.2809785096228059,0.01999999120684296,0.12723869067960505,0.25030502353615963,0.25030502353615963,0.37002757783465723,2.702501272612819,0.004118131803592411,0.0009725344147497039,,0.47282829887426514
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.062,1.05,0.02,0.3,0.06807077695119368,0.28034700190389433,0.016889606943791862,0.08438925554187476,0.15958386392138346,0.15958386392138346,0.35887739686979714,2.7864669347309325,0.00979484027085932,0.0023183137594796066,0.005000000005697913,0.42330363282876265
A,Architecture A: Standard Optimization,optimal,True,0.0615,1.05,0.02,0.3,0.06869999969623791,0.2825713893482663,0.028680883145882824,0.15811388605789992,0.2999999878169494,0.2999999878169494,0.35499998019540485,2.8169015655988594,1.493354615044811e-07,3.5204502304107714e-08,,0.4500000000406838
B,Architecture B: Stronger Single-Stage,optimal,True,0.0615,1.05,0.02,0.3,0.0682504927370569,0.280975003872637,0.019999993764638704,0.1277703321314575,0.2510418627905458,0.2510418627905458,0.3704687755902703,2.69928281649835,0.004151072619018328,0.0009796683246441895,,0.47380796719890933
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.0615,1.05,0.02,0.3,0.06790924027335907,0.280396464414855,0.01714711830628788,0.08618028583328954,0.1638875573136203,0.1638875573136203,0.3586552261875106,2.7881930249001425,0.00909116413719032,0.0021518466752055154,0.005000000000183821,0.4244001477002502
A,Architecture A: Standard Optimization,optimal,True,0.061,1.05,0.02,0.3,0.06854999975033724,0.2825713898561721,0.028680883116315094,0.15811388319058872,0.29999998672617273,0.29999998672617273,0.35499998449846,2.8169015314543993,3.510423679177862e-08,8.01661725891023e-09,,0.4499999994551299
B,Architecture B: Stronger Single-Stage,optimal,True,0.061,1.05,0.02,0.3,0.06808839662802012,0.28097001563366364,0.019999998894588103,0.12846105303949704,0.25197133924600595,0.25197133924600595,0.3710496819457683,2.695056884986516,0.0053951043043432055,0.0012725820852481085,,0.47508054928415744
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.061,1.05,0.02,0.3,0.06774795464475193,0.28044218370253987,0.017383261985555315,0.08787090036382367,0.1679003842282294,0.1679003842282294,0.35848100355422524,2.78954809344238,0.008478370668258581,0.0020064134596776695,0.005000000001881163,0.4254696089654117
A,Architecture A: Standard Optimization,optimal,True,0.0605,1.05,0.02,0.3,0.06839999981692876,0.2825713902166583,0.02868088374419977,0.15811388545833377,0.29999999216343815,0.29999999216343815,0.3549999863882241,2.8169015164592457,1.4443585386977461e-08,3.4015259926957147e-09,,0.44999999975689303
B,Architecture B: Stronger Single-Stage,optimal,True,0.0605,1.05,0.02,0.3,0.06792647206076069,0.2809665417853221,0.01999999966316713,0.12891937554816452,0.2525685381387479,0.2525685381387479,0.37144305492791485,2.6922027124563357,0.0036037545878930943,0.0008494188616850473,,0.4759299681458425
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.0605,1.05,0.02,0.3,0.06758683969997935,0.28048398261541435,0.017600018608287617,0.08946242036376932,0.171638452431687,0.171638452431687,0.3583478195149973,2.7905848606904913,0.007900884458798867,0.001869034138197001,0.005000000007030224,0.4265078159865505
A,Architecture A: Standard Optimization,optimal,True,0.06,1.05,0.02,0.3,0.06824999991077788,0.28257139102525464,0.028680884341608558,0.15811388514947625,0.2999999965547303,0.2999999965547303,0.35499999207402455,2.8169014713427942,4.3455741298743454e-08,1.0008395514789529e-08,,0.449999999507769
B,Architecture B: Stronger Single-Stage,optimal,True,0.06,1.05,0.02,0.3,0.06776469204906296,0.2809630414585302,0.019999996992661764,0.12934015508762683,0.25310211605736416,0.25310211605736416,0.37181072881555827,2.689540463734341,0.003331840499911307,0.0007847961069022968,,0.4767147642527448
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.06,1.05,0.02,0.3,0.06742586858880491,0.2805221296269442,0.01779929888340237,0.09096042063025812,0.17512408525508283,0.17512408525508283,0.3582489818664019,2.791354757772681,0.007371248864762281,0.001742816373491829,0.005000000000188019,0.42751241011980445
A,Architecture A: Standard Optimization,optimal,True,0.07,1.05,0.02,0.4,0.07124999995654645,0.2814134442717601,0.02897721365649949,0.13313792165856989,0.2391706947731203,0.2391706947731203,0.3477257055603887,2.8758299544993875,,,,0.4195853493020174
B,Architecture B: Stronger Single-Stage,optimal,True,0.07,1.05,0.02,0.4,0.07111051094885212,0.2806919386912935,0.019999965662705385,0.09144062008396016,0.15102995604877462,0.15102995604877462,0.35231029208948783,2.838407002160462,,,,0.4034127882176367
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.07,1.05,0.02,0.4,0.07075495839445815,0.27865979424831533,0.010560413634939744,0.05033055963058155,0.08388426613900746,0.08388426613900746,0.36431001853976386,2.7449149051904307,,,0.004999999995074,0.4083884267496582
A,Architecture A: Standard Optimization,optimal,True,0.0695,1.05,0.02,0.4,0.07112499990645214,0.2837270910642165,0.03358556326054671,0.21213185458796152,0.3999996942752562,0.3999996942752562,0.3749999237006883,2.66666720923966,0.748585281610313,0.16958519785658477,,0.49999984821159005
B,Architecture B: Stronger Single-Stage,optimal,True,0.0695,1.05,0.02,0.4,0.0709263527251606,0.28079988255098953,0.01999999908076179,0.09604425846961677,0.17389495889547946,0.17389495889547946,0.35343660104015995,2.8293617499065213,0.052429456417880604,0.011958894141212983,,0.4153716823588497
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.0695,1.05,0.02,0.4,0.07057172096186673,0.27877158877873415,0.010850510014404277,0.05171450559741728,0.08577083952545916,0.08577083952545916,0.364482009230981,2.7436196428731714,0.007200686549702297,0.0012590697009966234,0.004999999995319987,0.40909690738898713
A,Architecture A: Standard Optimization,optimal,True,0.069,1.05,0.02,0.4,0.07099999954255942,0.28372708778012,0.033585551342111955,0.21213175481350413,0.39999951788231464,0.39999951788231464,0.3749998827779052,2.6666675002462683,3.650076001576692e-07,7.935893103772074e-08,,0.49999977520346944
B,Architecture B: Stronger Single-Stage,optimal,True,0.069,1.05,0.02,0.4,0.07074698370755474,0.2808689500328926,0.019999938223134697,0.10055124962654986,0.19040418796730618,0.19040418796730618,0.35493239240056385,2.8174379724447247,0.041047009709890565,0.009474088852208129,,0.4248457712110578
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.069,1.05,0.02,0.4,0.07039324878915719,0.2789044478548826,0.011200078719989941,0.05338989438271817,0.08803893702946275,0.08803893702946275,0.3647395830897317,2.741682138058441,0.008100049018180178,0.0014247020013276046,0.004999999998017911,0.40988192163812914
A,Architecture A: Standard Optimization,optimal,True,0.0685,1.05,0.02,0.4,0.0708749999895966,0.2837270950575479,0.033585581100406034,0.21213203090924646,0.3999999939185995,0.3999999939185995,0.3749999985271111,2.6666666771405434,1.024027000400763e-06,2.2866043208891185e-07,,0.49999999734437844
B,Architecture B: Stronger Single-Stage,optimal,True,0.0685,1.05,0.02,0.4,0.07057119270123174,0.28090681570284187,0.01999997497079844,0.1043703563210226,0.20216241224545933,0.20216241224545933,0.35643608205475913,2.805552104139587,0.03146348185335849,0.0073212564770809285,,0.43216702768813875
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.0685,1.05,0.02,0.4,0.07021833673933763,0.27905138789139466,0.011590078246768356,0.055274415358394446,0.09053739896085108,0.09053739896085108,0.3650426914347682,2.7394056187499274,0.008816139593205732,0.0015522670039345987,0.004999999977157256,0.41073381788015034
A,Architecture A: Standard Optimization,optimal,True,0.068,1.05,0.02,0.4,0.07074999984346374,0.2837270937337316,0.033585576505825485,0.2121319896182011,0.39999992047727695,0.39999992047727695,0.37499997972046956,2.6666668108766687,1.5376403453193703e-07,3.340320053890622e-08,,0.4999999639411779
B,Architecture B: Stronger Single-Stage,optimal,True,0.068,1.05,0.02,0.4,0.07039799823109907,0.28093234648808807,0.019999994712832696,0.1076980484392227,0.2112955792880052,0.2112955792880052,0.3579286044292927,2.793853264660064,0.026233024478701898,0.006140231558283027,,0.4383072592464218
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.068,1.05,0.02,0.4,0.07004600824002691,0.2792060528253312,0.012004200556089927,0.05729890812618385,0.09313852190529949,0.09313852190529949,0.36535856063136357,2.737037277221408,0.009357681943728244,0.0016448554263940873,0.004999999998816307,0.41164231546600916
A,Architecture A: Standard Optimization,optimal,True,0.0675,1.05,0.02,0.4,0.07062499995453059,0.2837270948731414,0.03358558088687073,0.2121320302679996,0.3999999913166175,0.3999999913166175,0.374999997471608,2.6666666846463434,1.5100561245611402e-07,3.318437952204434e-08,,0.4999999971255574
B,Architecture B: Stronger Single-Stage,optimal,True,0.0675,1.05,0.02,0.4,0.07022683232068967,0.2809524821354444,0.01999995442285092,0.11071670736846081,0.2188555503771259,0.2188555503771259,0.35943190096650895,2.782168186271195,0.02326208597616613,0.005467939331673222,,0.443775198578095
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.0675,1.05,0.02,0.4,0.06987569815947735,0.2793638385435592,0.012432514130806434,0.05942059876878522,0.09575979964152909,0.09575979964152909,0.3656667729177505,2.7347302901511648,0.009781212081322765,0.0017137552137731493,0.004999999994430559,0.4125999775981629
A,Architecture A: Standard Optimization,optimal,True,0.067,1.05,0.02,0.4,0.07049999983591981,0.2837270941518276,0.03358557963693439,0.21213202245635557,0.3999999731539934,0.3999999731539934,0.3749999915348831,2.666666726863055,3.3803813882851184e-08,6.13228374864424e-09,,0.49999999138437823
B,Architecture B: Stronger Single-Stage,optimal,True,0.067,1.05,0.02,0.4,0.0700575506334942,0.2809732426811817,0.019999995520164314,0.11396803871032565,0.22630059943400752,0.22630059943400752,0.36117874040751574,2.7687122416776417,0.024414628679178735,0.005755154263153095,,0.4495303528412481
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.067,1.05,0.02,0.4,0.06970726288065879,0.2795243547735459,0.012870977867387404,0.061624525691071484,0.09836529540130612,0.09836529540130612,0.3659591876669086,2.7325451408264336,0.010156779821102517,0.0017725667507448584,0.004999999995260166,0.4136037140025941
A,Architecture A: Standard Optimization,optimal,True,0.0665,1.05,0.02,0.4,0.07037499930373714,0.28372709092513976,0.03358557380706408,0.21213198460891836,0.39999988756351745,0.39999988756351745,0.3749999640640921,2.666666922210925,1.5834266183294125e-07,2.8240022875714033e-08,,0.49999996314435535
B,Architecture B: Stronger Single-Stage,optimal,True,0.0665,1.05,0.02,0.4,0.06988974313680626,0.2809850088909479,0.01999999392923603,0.11632243068005343,0.23128915215654797,0.23128915215654797,0.36253219581822826,2.7583757016201527,0.017429967197192486,0.004116799120828851,,0.45364715196207694
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.0665,1.05,0.02,0.4,0.0695402944209199,0.279664096794915,0.013332560728306887,0.06388965495297598,0.10289559487634015,0.10289559487634015,0.3655591742204662,2.7355352307391607,0.01285658383354207,0.0025129311925948528,0.005000000002895059,0.41440237046517925
A,Architecture A: Standard Optimization,optimal,True,0.066,1.05,0.02,0.4,0.0702499988842011,0.28372708849313677,0.03358557059952871,0.21213196764082545,0.3999998397580276,0.3999998397580276,0.37499994542577664,2.6666670547500892,1.0081163122021319e-07,2.376209187055792e-08,,0.4999999496298086
B,Architecture B: Stronger Single-Stage,optimal,True,0.066,1.05,0.02,0.4,0.06972307084648678,0.28099083410002,0.01999998356329121,0.11819691339270065,0.23503446064228486,0.23503446064228486,0.3636703177603495,2.749743245911472,0.013827717133481118,0.0032696932514525434,,0.4569168452135295
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.066,1.05,0.02,0.4,0.06937445549223409,0.27976226617633837,0.013821691019424709,0.06629512102655416,0.11094953202666671,0.11094953202666671,0.36413940024519537,2.7462010409382898,0.017423516374695573,0.004026968146915999,0.005000000000290568,0.41496348036643843
A,Architecture A: Standard Optimization,optimal,True,0.0655,1.05,0.02,0.4,0.07012499996264966,0.2837270949443489,0.03358558115400107,0.2121320322028254,0.39999999473169595,0.39999999473169595,0.3749999981048983,2.6666666801429453,2.944845968832873e-07,5.676038619375672e-08,,0.49999999822767643
B,Architecture B: Stronger Single-Stage,optimal,True,0.0655,1.05,0.02,0.4,0.06955735207600146,0.28099424136933654,0.01999999869210819,0.12023040338344972,0.2388751821787274,0.2388751821787274,0.36496705825737413,2.7399733136868525,0.014978245163440668,0.0035441626194505083,,0.46046100783298
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.0655,1.05,0.02,0.4,0.06920956531507871,0.2798546736097169,0.014298283105648584,0.06878058556499751,0.11858177775833605,0.11858177775833605,0.362955137367944,2.7551614429588716,0.016388678275280386,0.0038161229014258002,0.005000000007802725,0.4157396257701072
A,Architecture A: Standard Optimization,optimal,True,0.065,1.05,0.02,0.4,0.0699999986074998,0.2837270869074662,0.03358557006773816,0.21213196600788226,0.3999998207615516,0.3999998207615516,0.3749999310410262,2.666667157041682,3.5194320417358086e-07,7.704196935502971e-08,,0.4999999411418843
B,Architecture B: Stronger Single-Stage,optimal,True,0.065,1.05,0.02,0.4,0.06939239991985256,0.28099465175630634,0.019999997093366778,0.12206099621922759,0.24213601343420707,0.24213601343420707,0.3661928981655367,2.7308011843199433,0.013498427897887733,0.0031950216239228224,,0.4636560294569028
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.065,1.05,0.02,0.4,0.06904543792001587,0.2799425848392293,0.01475766667246901,0.0712671356631411,0.12575425934168497,0.12575425934168497,0.3619737774351194,2.7626310587629272,0.015318529559157967,0.0035862407657234474,0.0050000000034215505,0.41666667530987184
A,Architecture A: Standard Optimization,optimal,True,0.0645,1.05,0.02,0.4,0.06987499974033767,0.2837270936124683,0.033585579629429416,0.21213202394636024,0.3999999697389408,0.3999999697389408,0.3749999872502372,2.6666667573316496,2.9708237309277e-07,6.331562899633961e-08,,0.49999999024467323
B,Architecture B: Stronger Single-Stage,optimal,True,0.0645,1.05,0.02,0.4,0.06922824216670298,0.28099327684125364,0.019999977740145218,0.1234359493749003,0.2444651642854016,0.2444651642854016,0.3671401369360587,2.7237555892020615,0.010071878138750323,0.0023839595061712626,,0.4660399889630741
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.0645,1.05,0.02,0.4,0.0688821009558103,0.28002376941783746,0.01519256342536544,0.07371674302129284,0.1324908215356696,0.1324908215356696,0.3611590385376669,2.768863279869723,0.01433304803348237,0.0033682810855159007,0.005000000000854731,0.4176951714438497
A,Architecture A: Standard Optimization,optimal,True,0.064,1.05,0.02,0.4,0.06974999956061712,0.28372709250694433,0.033585578590134675,0.2121320187915561,0.3999999513209179,0.3999999513209179,0.37499997820074027,2.666666821683634,5.0431455144673624e-08,1.2087542677736202e-08,,0.49999998423318864
B,Architecture B: Stronger Single-Stage,optimal,True,0.064,1.05,0.02,0.4,0.06906452858707823,0.2809910702530633,0.019999994081854502,0.1243278116198875,0.24591742159990826,0.24591742159990826,0.36777977250088356,2.7190184854377697,0.006606822199741465,0.0015634573660845419,,0.4676034463291586
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.064,1.05,0.02,0.4,0.06871920594406233,0.2800989233529973,0.015595352937722542,0.07607687269727793,0.13875276190370278,0.13875276190370278,0.36049292472240996,2.7739795469495805,0.01328565355008582,0.003130970182339321,0.005000000001165698,0.4187868492795081
A,Architecture A: Standard Optimization,optimal,True,0.0635,1.05,0.02,0.4,0.06962499998619383,0.28372709507692917,0.033585581441739155,0.21213203419668106,0.3999999988748792,0.3999999988748792,0.37499999929119576,2.6666666717070524,1.1242648837028041e-07,2.6763256014009023e-08,,0.49999999965090053
B,Architecture B: Stronger Single-Stage,optimal,True,0.0635,1.05,0.02,0.4,0.0689011784420468,0.28098886880480917,0.01999999072954177,0.12496635581155,0.24692778063897947,0.24692778063897947,0.36825027446858155,2.715544479751143,0.004767216374819526,0.001127812865602984,,0.4687312591947616
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.0635,1.05,0.02,0.4,0.06855667254975491,0.2801695246936016,0.015965687415401112,0.07832915481855707,0.14456246853921012,0.14456246853921012,0.35995100378940925,2.778155886419069,0.012302184241127076,0.002904853319769307,0.00500000000118509,0.41991232886369895
A,Architecture A: Standard Optimization,optimal,True,0.063,1.05,0.02,0.4,0.06949999998227155,0.28372709505297056,0.0335855814057765,0.21213203397232042,0.39999999831753635,0.39999999831753635,0.37499999908735965,2.666666673156554,1.0870171120129634e-09,2.2073787601195038e-10,,0.4999999994639657
B,Architecture B: Stronger Single-Stage,optimal,True,0.063,1.05,0.02,0.4,0.06873807538227128,0.28098460407486175,0.0199999987062289,0.1260201420040085,0.24853464940037517,0.24853464940037517,0.36906066520486636,2.7095816332658966,0.008015859979955135,0.0018952435793423428,,0.47062650277410395
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.063,1.05,0.02,0.4,0.06839438500534878,0.28023345053606086,0.01630185090649074,0.0804605749949899,0.14993867120539522,0.14993867120539522,0.3595139385143597,2.7815333228312595,0.011369528736734823,0.0026881013306047086,0.005000000000162129,0.42104940437534755
A,Architecture A: Standard Optimization,optimal,True,0.0625,1.05,0.02,0.4,0.06937499874862929,0.2837270868667997,0.03358557581258244,0.212132015988176,0.3999998910376799,0.3999998910376799,0.37499993548704025,2.6666671254255703,3.995374260811108e-07,9.594962611970467e-08,,0.49999996821292986
B,Architecture B: Stronger Single-Stage,optimal,True,0.0625,1.05,0.02,0.4,0.0685753760493104,0.28098159173087905,0.019999999528433128,0.12670568339677551,0.24954477844866663,0.24954477844866663,0.3695960171766273,2.7056568618868724,0.005201264288594033,0.001229260408493027,,0.471855763182597
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.0625,1.05,0.02,0.4,0.06823249916870129,0.2802925120315336,0.01660906940578221,0.0824854982002316,0.15494724697664047,0.15494724697664047,0.3591591581481379,2.784280944292509,0.010584462006993452,0.0025042878927323264,0.0050000000052869325,0.4221842249688401
A,Architecture A: Standard Optimization,optimal,True,0.062,1.05,0.02,0.4,0.06924999998065512,0.28372709501776716,0.03358558147410522,0.2121320346746009,0.3999999989525855,0.3999999989525855,0.3749999988714522,2.6666666746918954,3.9655589778290773e-07,9.525367536024643e-08,,0.4999999997281008
B,Architecture B: Stronger Single-Stage,optimal,True,0.062,1.05,0.02,0.4,0.06841284115055754,0.2809785104707846,0.019999991100685947,0.1272385513344052,0.2503048270796223,0.2503048270796223,0.37002746461036307,2.7025020995481905,0.004117061909125834,0.000972281797994079,,0.47282804498059106
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.062,1.05,0.02,0.4,0.06807077694400779,0.28034700164875465,0.01688960433092241,0.08438925498210875,0.15958388265070525,0.15958388265070525,0.3588774049615073,2.7864668719036763,0.009794857252833012,0.0023183178681063787,0.005000000011649346,0.423303658589925
A,Architecture A: Standard Optimization,optimal,True,0.0615,1.05,0.02,0.4,0.06912499977090943,0.28372709340486313,0.03358558104804447,0.21213203621204824,0.39999998477858656,0.39999998477858656,0.37499998622608716,2.666666764614495,8.861539175834653e-08,2.097891978485092e-08,,0.4999999954162619
B,Architecture B: Stronger Single-Stage,optimal,True,0.0615,1.05,0.02,0.4,0.06825049288504571,0.2809749975880098,0.01999999584218447,0.12777131203717274,0.2510432096176533,0.2510432096176533,0.3704695837437859,2.69927692820146,0.004159727089105877,0.000981710975969663,,0.4738097559565607
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.0615,1.05,0.02,0.4,0.06790924042054304,0.2803964647280756,0.017147119961929757,0.0861802971545365,0.16388758397546052,0.16388758397546052,0.35865522474962963,2.7881930360782583,0.009091180534190729,0.002151850625930707,0.0050000000011347035,0.4244001542551039
A,Architecture A: Standard Optimization,optimal,True,0.061,1.05,0.02,0.4,0.06899999998706044,0.28372709504922106,0.03358558150724682,0.21213203482530116,0.3999999994746635,0.3999999994746635,0.37499999910872484,2.6666666730046233,8.996225520108785e-08,2.1311834043150548e-08,,0.4999999998697324
B,Architecture B: Stronger Single-Stage,optimal,True,0.061,1.05,0.02,0.4,0.06808839668610289,0.28097001577702196,0.019999999675466756,0.1284610580333066,0.25197134872486926,0.25197134872486926,0.37104968174532704,2.6950568864423876,0.005387531630991205,0.0012707950361947606,,0.4750805509927555
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.061,1.05,0.02,0.4,0.06774795470252414,0.28044218382514635,0.01738326265290605,0.08787090470548435,0.16790039398915496,0.16790039398915496,0.3584810029279032,2.7895480983161542,0.008478334969510254,0.002006405011005019,0.005000000002177207,0.42546961107208686
