date,strategy_return,benchmark_return,excess_return,n_selected,n_available,selection_mode,strategy_equity,benchmark_equity,excess_equity
2015-11-30,-0.028597035773948693,-0.03149208715074139,0.0028950513767926934,13,29,high_only,2.006266531988307,1.5993159921947455,1.2544528672130026
2015-12-31,-0.036450125009610104,-0.04672586453904868,0.010275739529438575,16,29,high_only,1.9331378660947363,1.5245865697883196,1.2679751379176465
2016-01-31,-0.005636211710696524,-0.006118992934169184,0.00048278122347266035,17,30,high_only,1.9222422918154622,1.5152576353402556,1.2685910613371152
2016-02-29,0.10896647295044921,0.10603190349023543,0.0029345694602137817,17,30,high_only,2.131702254510781,1.675923286693496,1.271956939459032
2016-03-31,0.014560451310572717,0.02474160724106756,-0.010181155930494843,13,30,high_only,2.1627408013962235,1.7173883224190256,1.2593196152340764
2016-04-30,-0.022987727094975208,-0.028968317488820804,0.005980590393845596,15,30,high_only,2.113024306076559,1.667638472243598,1.2670757728644568
2016-05-31,0.017359295704747497,0.009935856053293632,0.007423439651453865,13,30,high_only,2.149704919837061,1.684207888052745,1.2763892955771134
2016-06-30,0.03421784299868528,0.04230670612625966,-0.008088863127574383,12,30,high_only,2.223263185277547,1.7554611762281207,1.2664838250963606
2016-07-31,-0.0038216188801241517,-0.0002963187506134113,-0.0035253001295107405,11,30,high_only,2.214766720713205,1.7549410001656305,1.2620177661267111
2016-08-31,0.010113139658902592,0.014108539022285727,-0.0039953993633831345,11,30,high_only,2.237164965871668,1.7797006537482765,1.2570456504356018
2016-09-30,-0.017774661066354926,-0.007539590257404953,-0.010235070808949972,11,30,high_only,2.1974001168537756,1.7662824400381787,1.24408195826613
2016-10-31,-0.04988636420361488,-0.0422636149421691,-0.00762274926144578,13,30,high_only,2.087779814323342,1.6916329591132901,1.2341801471033655
2016-11-30,0.011261137787175052,0.02168644856145915,-0.010425310774284099,12,30,high_only,2.11129059048172,1.7283184702659695,1.221586546000874
2016-12-31,0.034777935037074645,0.04957694163586083,-0.014799006598786184,8,30,high_only,2.18471691748188,1.814003214194526,1.2043622086149184
2017-01-31,0.012804282117577262,0.013692311275350604,-0.0008880291577733415,6,30,high_only,2.212690649240362,1.838841110857764,1.2033071461014968
2017-02-28,0.02998582619019108,0.03910447787448612,-0.009118651684295043,6,30,high_only,2.2790400064611447,1.9107480323919972,1.1927475354288843
2017-03-31,0.0513189924430824,0.027915789221931362,0.023403203221151036,5,30,high_only,2.3959980433302066,1.964088071720472,1.219903566356572
2017-04-30,0.01704323181219884,0.0275553740152628,-0.01051214220306396,3,30,high_only,2.436833593404258,2.018209253135646,1.2074236552122657
2017-05-31,0.009027557271752196,0.005306724364035061,0.0037208329077171344,2,30,high_only,2.4588322482304448,2.0289193333509816,1.2118925616275809
2017-06-30,0.029331386701216045,0.040450562607362885,-0.01111917590614684,3,30,high_only,2.530953207736712,2.1109902618699845,1.198941204728586
2017-07-31,0.016687295674774155,0.012491149153209568,0.004196146521564586,3,30,high_only,2.5731879722532325,2.1373589560919752,1.2039100708465662
2017-08-31,0.01618351881637148,0.009753608656326981,0.006429910160044497,2,30,high_only,2.6148312082202536,2.158205918907792,1.2115763307439853
2017-09-30,-0.0034309868948054767,0.01694772816092068,-0.020378715055726155,2,30,high_only,2.6058597566127215,2.194782606136731,1.1872974340723297
2017-10-31,-0.037658788846082425,-0.0031920659440725827,-0.03446672290200984,2,30,high_only,2.5077262342759394,2.187776715325039,1.1462441375802672
2017-11-30,0.10171878601477935,0.03659784953249915,0.0651209364822802,2,30,high_only,2.7628091024839025,2.2678446383632105,1.2182532505744867
2017-12-31,0.054779955039017655,0.06340161416995892,-0.008621659130941262,7,30,high_only,2.9141556608993593,2.411629649122125,1.2083761127916812
2018-01-31,-0.05075473433463651,-0.05287916493472973,0.0021244306000932217,6,30,high_only,2.7662484645206353,2.2841046871447115,1.2110865496181074
2018-02-28,0.008937783178932679,-0.004476339254295125,0.013414122433227805,7,30,high_only,2.7909725935155767,2.273880259672726,1.2274052609600798
